positive,negative,subjective,objective,favorite_count,followers_count,friends_count,len_tweet,retweet_count,no_of_hashtags,no_of_user_mentions,viral_notviral
0,1,0,1,0,329,1168,139,382,7,11,0
0,1,0,1,0,1,8,139,382,7,11,0
0,1,0,1,0,127,160,139,382,7,11,0
0,1,0,1,0,0,30,139,382,7,11,0
0,1,0,1,0,40,91,139,382,7,11,0
0,1,0,1,0,130,462,126,0,7,0,0
1,0,1,0,0,1684,1575,140,0,40,12,0
0,1,0,1,0,248,508,139,0,12,0,0
0,1,0,1,0,116797,4251,140,5,20,14,0
0,1,0,1,0,19,68,139,382,7,11,0
0,1,0,1,0,9,147,139,382,7,11,0
0,1,0,1,0,13,40,139,382,7,11,0
0,1,0,1,0,89,58,139,382,7,11,0
0,1,0,1,0,705,942,139,382,7,11,0
0,1,0,1,0,152,501,139,382,7,11,0
0,1,0,1,0,1,3,139,382,7,11,0
1,0,1,0,0,1,16,140,3,7,14,0
0,1,0,1,0,7,32,140,0,0,73,0
0,1,0,1,0,4,99,139,382,7,11,0
0,1,0,1,0,281,1446,140,2,0,134,0
0,1,0,1,0,0,61,139,382,7,11,0
1,0,0,1,0,53,134,140,97,0,28,0
0,1,0,1,0,2,57,139,382,7,11,0
0,1,0,1,0,418,2181,139,382,7,11,0
0,1,0,1,0,462,184,139,382,7,11,0
0,1,0,1,0,81,868,139,382,7,11,0
0,1,0,1,0,57,328,139,382,7,11,0
0,1,0,1,0,117,1267,139,382,7,11,0
0,1,0,1,0,8,30,139,382,7,11,0
0,1,0,1,0,156,1589,139,382,7,11,0
0,1,0,1,0,585,836,139,382,7,11,0
0,1,0,1,0,3,35,139,382,7,11,0
0,1,0,1,0,807,800,139,382,7,11,0
0,1,0,1,0,44,133,140,2,0,134,0
0,1,0,1,0,0,39,139,382,7,11,0
1,0,1,0,0,21,126,140,0,0,22,0
0,1,0,1,0,64,205,139,382,7,11,0
0,1,0,1,0,13,81,139,382,7,11,0
0,1,0,1,4,11,22,126,2,0,100,0
0,1,0,1,0,5,59,139,382,7,11,0
0,1,0,1,0,114,103,139,382,7,11,0
0,1,0,1,0,1236,865,139,382,7,11,0
0,1,0,1,0,3,25,139,382,7,11,0
0,1,0,1,0,1878,581,140,3,14,75,0
0,1,0,1,0,15771,15621,139,382,7,11,0
0,1,0,1,0,333,1376,139,382,7,11,0
0,1,0,1,0,6040,6590,140,8,0,131,0
0,1,0,1,0,1847,467,139,382,7,11,0
0,1,0,1,0,7,44,139,382,7,11,0
0,1,0,1,0,2,69,139,382,7,11,0
0,1,0,1,0,60,260,140,8,0,131,0
0,1,0,1,0,89,383,139,382,7,11,0
0,1,0,1,1,2518,848,140,0,0,0,0
0,1,0,1,0,2,1,139,382,7,11,0
0,1,0,1,0,9,24,139,382,7,11,0
0,1,0,1,0,512,4996,139,382,7,11,0
0,1,0,1,0,118,1176,139,382,7,11,0
0,1,0,1,0,7106,7456,140,8,0,131,0
0,1,0,1,0,51,423,139,382,7,11,0
0,1,0,1,0,0,11,139,382,7,11,0
0,1,0,1,0,7,31,139,382,7,11,0
0,1,0,1,0,0,1,139,382,7,11,0
0,1,0,1,0,12,109,139,382,7,11,0
0,1,0,1,0,3,92,139,382,7,11,0
0,1,0,1,0,5750,2182,139,382,7,11,0
0,1,0,1,0,2,96,139,382,7,11,0
0,1,0,1,0,12459,2727,140,8,0,131,0
0,1,0,1,0,9,26,140,0,0,55,0
0,1,0,1,0,99,797,139,382,7,11,0
0,1,0,1,0,1206,5,140,8,0,131,0
0,1,0,1,6,1206,5,132,8,0,106,0
0,1,0,1,0,280,2223,139,382,7,11,0
0,1,0,1,0,1022,706,139,382,7,11,0
0,1,0,1,0,27,150,139,382,7,11,0
0,1,0,1,0,209,1125,139,382,7,11,0
0,1,0,1,0,23,77,140,0,0,66,0
0,1,0,1,0,46,603,139,382,7,11,0
0,1,0,1,0,0,7,139,382,7,11,0
0,1,0,1,0,121,376,139,382,7,11,0
0,1,0,1,0,40,319,139,382,7,11,0
0,1,0,1,0,0,47,139,382,7,11,0
0,1,0,1,0,2,48,139,382,7,11,0
1,0,0,1,0,42074,10177,140,36,0,9,0
0,1,0,1,0,0,8,139,382,7,11,0
0,1,0,1,0,13,90,139,382,7,11,0
0,1,0,1,0,1,6,139,382,7,11,0
0,1,0,1,0,92,861,139,382,7,11,0
0,1,0,1,0,46,367,139,382,7,11,0
0,1,0,1,0,2,5,139,382,7,11,0
0,1,0,1,0,7,17,139,382,7,11,0
0,1,0,1,0,2,35,139,382,7,11,0
0,1,0,1,0,12,90,139,382,7,11,0
0,1,0,1,0,441,1377,139,382,7,11,0
0,1,0,1,0,5702,1052,139,382,7,11,0
0,1,0,1,0,4043,459,139,382,7,11,0
0,1,0,1,0,12818,1039,139,382,7,11,0
0,1,0,1,0,216,548,139,382,7,11,0
0,1,0,1,5,1023,438,133,5,20,0,0
0,1,0,1,0,47,323,139,382,7,11,0
0,1,0,1,0,474,1065,139,382,7,11,0
0,1,0,1,0,36,95,139,382,7,11,0
0,1,0,1,0,5,69,139,382,7,11,0
0,1,0,1,0,2109,2209,139,382,7,11,0
0,1,0,1,0,7,6,139,0,0,11,0
0,1,0,1,0,595,4262,139,382,7,11,0
0,1,0,1,0,2216,794,140,1,0,67,0
0,1,0,1,0,19,98,139,382,7,11,0
0,1,0,1,0,1,27,139,382,7,11,0
0,1,0,1,0,14,158,139,382,7,11,0
0,1,0,1,0,29,237,139,382,7,11,0
1,0,0,1,0,197,455,140,97,0,28,0
0,1,0,1,0,1,45,139,382,7,11,0
0,1,0,1,0,1,61,139,382,7,11,0
0,1,0,1,0,61,431,139,382,7,11,0
0,1,0,1,0,2,47,139,382,7,11,0
0,1,0,1,0,10,85,139,382,7,11,0
0,1,0,1,0,24,39,139,382,7,11,0
0,1,0,1,0,1373,4948,139,382,7,11,0
0,1,0,1,2,28,152,140,0,0,80,0
0,1,1,0,0,88,64,140,0,0,13,0
0,1,0,1,0,117,302,139,382,7,11,0
0,1,0,1,0,41,289,139,382,7,11,0
0,1,0,1,0,67,47,139,382,7,11,0
0,1,0,1,0,358,609,139,382,7,11,0
1,0,0,1,1,677,4947,140,0,0,33,0
0,1,0,1,0,398,277,139,382,7,11,0
0,1,0,1,0,208,23,139,382,7,11,0
0,1,0,1,0,21,344,139,382,7,11,0
0,1,0,1,0,40,57,139,382,7,11,0
0,1,0,1,0,50,841,139,382,7,11,0
0,1,0,1,0,348,598,139,382,7,11,0
0,1,0,1,0,16,534,139,382,7,11,0
0,1,0,1,2,964,73,139,1,0,56,0
0,1,0,1,0,79,267,139,382,7,11,0
0,1,0,1,0,178,350,139,382,7,11,0
0,1,0,1,0,405,1242,139,382,7,11,0
0,1,0,1,0,6,61,139,382,7,11,0
0,1,0,1,0,469,1443,139,382,7,11,0
0,1,0,1,0,20,212,139,382,7,11,0
0,1,0,1,0,42,168,139,382,7,11,0
0,1,0,1,0,532,143,139,382,7,11,0
1,0,1,0,0,13,61,139,2,7,12,0
0,1,0,1,0,2476,312,139,382,7,11,0
0,1,0,1,0,9,27,139,382,7,11,0
0,1,0,1,0,3,74,139,382,7,11,0
0,1,0,1,0,69,465,139,382,7,11,0
0,1,0,1,0,13,27,140,0,23,0,0
0,1,0,1,0,15,99,139,382,7,11,0
0,1,0,1,0,54,341,139,382,7,11,0
0,1,0,1,0,69,575,139,382,7,11,0
0,1,0,1,0,56,129,139,382,7,11,0
0,1,0,1,0,0,10,140,0,0,26,0
0,1,0,1,0,160,1127,140,0,7,60,0
0,1,0,1,0,43,139,139,382,7,11,0
0,1,0,1,0,161,404,139,382,7,11,0
0,1,0,1,0,32,204,139,382,7,11,0
0,1,0,1,0,595,1288,140,1,0,25,0
0,1,0,1,0,95,144,139,382,7,11,0
0,1,1,0,0,42074,10177,140,3263,0,10,1
0,1,0,1,0,345,949,139,382,7,11,0
0,1,0,1,0,151,1358,139,382,7,11,0
0,1,0,1,0,16,36,139,382,7,11,0
0,1,0,1,0,1072,2637,139,382,7,11,0
1,0,0,1,0,191,269,140,0,14,22,0
0,1,0,1,0,29,19,139,382,7,11,0
0,1,0,1,0,45,163,140,0,0,15,0
0,1,0,1,0,104,159,139,382,7,11,0
1,0,1,0,1,17,181,140,0,0,12,0
0,1,0,1,0,5,45,139,382,7,11,0
0,1,0,1,0,152,628,139,382,7,11,0
0,1,0,1,0,185,262,139,382,7,11,0
0,1,0,1,0,45,163,140,0,7,0,0
0,1,0,1,0,268,162,139,382,7,11,0
0,1,0,1,0,5,91,139,382,7,11,0
0,1,0,1,0,4,39,139,382,7,11,0
0,1,0,1,0,11,115,139,0,0,0,0
0,1,0,1,1,1424,2328,140,0,0,79,0
0,1,0,1,0,43,169,139,382,7,11,0
0,1,0,1,0,516,111,139,382,7,11,0
0,1,0,1,0,41,97,139,382,7,11,0
0,1,0,1,0,0,19,139,382,7,11,0
0,1,0,1,0,3,24,139,382,7,11,0
0,1,0,1,0,49,93,139,382,7,11,0
0,1,0,1,0,82,84,139,382,7,11,0
0,1,0,1,0,6,125,139,382,7,11,0
0,1,0,1,0,5,67,139,382,7,11,0
0,1,0,1,0,60,150,139,382,7,11,0
0,1,0,1,0,30,7,140,1,0,15,0
0,1,0,1,0,440,124,134,0,15,33,0
0,1,0,1,0,104,88,139,382,7,11,0
0,1,0,1,0,9,88,139,382,7,11,0
0,1,0,1,0,108,1035,139,382,7,11,0
0,1,0,1,0,7,228,139,382,7,11,0
0,1,0,1,0,38,263,139,382,7,11,0
0,1,0,1,0,2871,1317,139,382,7,11,0
0,1,0,1,0,183,377,139,382,7,11,0
0,1,0,1,0,2,13,139,382,7,11,0
0,1,0,1,0,19,205,139,382,7,11,0
0,1,0,1,0,30,539,139,382,7,11,0
0,1,0,1,0,123,149,139,382,7,11,0
0,1,0,1,0,0,26,139,382,7,11,0
0,1,0,1,0,8,3,139,382,7,11,0
1,0,1,0,0,1346,5001,140,3,7,14,0
0,1,0,1,0,6,22,139,382,7,11,0
0,1,0,1,0,1295,238,139,382,7,11,0
1,0,1,0,0,504,1081,140,3,7,14,0
1,0,0,1,1,2,52,140,0,7,12,0
1,0,1,0,11,20986,125,140,3,7,0,0
0,1,0,1,0,36,170,139,382,7,11,0
0,1,0,1,0,0,101,139,382,7,11,0
0,1,0,1,0,372,43,139,382,7,11,0
0,1,0,1,0,299,138,139,382,7,11,0
0,1,0,1,0,313,334,140,0,14,0,0
0,1,0,1,0,443,205,139,382,7,11,0
0,1,0,1,0,68,211,139,382,7,11,0
0,1,0,1,0,66,256,139,382,7,11,0
0,1,0,1,0,21,82,139,382,7,11,0
0,1,0,1,0,298,721,139,382,7,11,0
0,1,1,0,0,39,17,139,0,7,7,0
0,1,0,1,0,4424,229,139,382,7,11,0
0,1,0,1,0,2349,403,139,382,7,11,0
0,1,0,1,0,33,138,139,382,7,11,0
1,0,0,1,0,172,197,140,0,0,25,0
0,1,0,1,0,46,157,139,382,7,11,0
0,1,0,1,0,19,68,139,382,7,11,0
0,1,0,1,0,502,1352,139,382,7,11,0
0,1,0,1,0,4,11,139,382,7,11,0
0,1,0,1,0,14,147,139,382,7,11,0
0,1,0,1,0,3,63,139,382,7,11,0
0,1,0,1,0,513,733,139,382,7,11,0
0,1,0,1,0,13,115,139,382,7,11,0
0,1,0,1,0,41,850,139,382,7,11,0
0,1,0,1,0,7,289,139,382,7,11,0
0,1,0,1,0,5,175,139,382,7,11,0
0,1,0,1,0,507,513,139,382,7,11,0
0,1,0,1,0,295,811,105,0,0,44,0
0,1,0,1,0,10,81,139,382,7,11,0
0,1,0,1,0,29,167,139,382,7,11,0
0,1,0,1,0,47,140,139,382,7,11,0
0,1,0,1,0,54,414,139,382,7,11,0
0,1,0,1,0,42,312,139,382,7,11,0
0,1,0,1,0,7,71,139,382,7,11,0
0,1,0,1,0,32,26,139,382,7,11,0
0,1,0,1,0,306,475,139,382,7,11,0
0,1,0,1,0,28,57,139,382,7,11,0
0,1,0,1,0,3164,1793,140,0,18,17,0
0,1,0,1,0,20,284,139,382,7,11,0
0,1,0,1,0,73,86,139,382,7,11,0
0,1,0,1,0,6,92,139,382,7,11,0
0,1,0,1,0,128,144,139,382,7,11,0
0,1,0,1,0,28,156,139,382,7,11,0
0,1,0,1,0,150,753,139,382,7,11,0
0,1,0,1,0,70,125,139,382,7,11,0
0,1,0,1,0,28,356,139,382,7,11,0
0,1,0,1,0,20,143,139,382,7,11,0
0,1,0,1,0,452,2367,139,382,7,11,0
0,1,0,1,0,50,178,139,382,7,11,0
0,1,0,1,0,61,331,139,382,7,11,0
0,1,0,1,0,5,123,139,382,7,11,0
0,1,0,1,0,47,547,139,382,7,11,0
0,1,0,1,0,169,416,139,382,7,11,0
0,1,0,1,0,79,128,139,382,7,11,0
0,1,0,1,0,676,643,139,382,7,11,0
0,1,0,1,0,129,838,139,382,7,11,0
0,1,0,1,0,206,180,140,0,0,20,0
0,1,0,1,0,297,677,139,382,7,11,0
0,1,0,1,0,31,62,139,382,7,11,0
0,1,0,1,0,4,69,139,382,7,11,0
0,1,0,1,0,1388,4570,139,382,7,11,0
0,1,0,1,0,822,681,139,382,7,11,0
0,1,0,1,0,75,325,139,382,7,11,0
0,1,0,1,0,4,140,139,382,7,11,0
0,1,0,1,0,258,1880,139,382,7,11,0
0,1,0,1,0,391,3605,139,382,7,11,0
0,1,0,1,0,1712,1467,139,382,7,11,0
0,1,0,1,0,703,311,139,382,7,11,0
0,1,0,1,0,66,441,139,382,7,11,0
0,1,0,1,0,8,75,139,382,7,11,0
0,1,0,1,0,1268,1092,139,382,7,11,0
0,1,0,1,0,402,931,139,382,7,11,0
0,1,0,1,0,18,79,139,382,7,11,0
1,0,0,1,0,11,41,140,0,0,12,0
0,1,0,1,0,419,2765,139,382,7,11,0
0,1,0,1,0,29,33,139,382,7,11,0
0,1,0,1,0,64,102,139,382,7,11,0
0,1,0,1,0,345,230,139,382,7,11,0
0,1,0,1,0,98,841,139,382,7,11,0
0,1,0,1,0,602,477,139,382,7,11,0
1,0,1,0,0,184,112,140,0,0,12,0
0,1,0,1,0,89,304,139,382,7,11,0
0,1,0,1,0,9,24,139,382,7,11,0
0,1,0,1,0,3406,4999,139,382,7,11,0
0,1,0,1,0,861,214,139,382,7,11,0
0,1,0,1,0,323,1282,139,382,7,11,0
0,1,0,1,0,17,162,139,382,7,11,0
0,1,0,1,0,379,328,139,382,7,11,0
0,1,0,1,0,612,2222,139,382,7,11,0
0,1,0,1,0,21,166,139,382,7,11,0
0,1,0,1,0,73,1351,139,382,7,11,0
0,1,0,1,0,1676,1096,139,382,7,11,0
0,1,0,1,0,45,329,139,382,7,11,0
0,1,0,1,0,29,363,139,382,7,11,0
0,1,0,1,0,95,121,139,382,7,11,0
0,1,0,1,0,41,47,139,382,7,11,0
0,1,0,1,0,336,792,139,382,7,11,0
0,1,0,1,0,1243,3285,139,382,7,11,0
0,1,0,1,0,100,505,139,382,7,11,0
0,1,0,1,0,17,239,139,382,7,11,0
0,1,0,1,0,58,531,139,382,7,11,0
0,1,0,1,0,237,1218,139,382,7,11,0
0,1,0,1,0,57957,38059,139,382,7,11,0
0,1,0,1,0,16,197,139,382,7,11,0
0,1,0,1,0,483,543,139,382,7,11,0
0,1,0,1,0,376,267,139,382,7,11,0
0,1,0,1,830,47803,474,140,382,7,0,0
0,1,0,1,0,253,282,139,4,24,15,0
0,1,0,1,0,5,35,140,0,0,63,0
0,1,0,1,0,196,319,140,1,0,35,0
1,0,0,1,0,38,118,140,13,44,15,0
0,1,0,1,0,3846,4844,139,4,24,15,0
1,0,0,1,0,1072,1245,140,13,44,15,0
0,1,0,1,0,2305,5,140,2,7,22,0
0,1,0,1,1,1,30,118,0,67,0,0
0,1,0,1,1,6,24,138,0,0,112,0
0,1,0,1,0,737,170,140,42,0,119,0
0,1,0,1,0,80,76,140,3,14,75,0
0,1,0,1,0,8,23,139,0,0,23,0
0,1,0,1,0,268,1163,144,1229,35,11,1
0,1,0,1,0,237,49,140,2,0,54,0
1,0,0,1,0,433,1404,144,0,0,0,0
0,1,0,1,0,2636,4,140,3,0,15,0
0,1,0,1,0,4346,3671,140,3,0,15,0
0,1,0,1,0,179649,41404,140,3,0,15,0
0,1,0,1,3,1514,3275,140,3,0,0,0
0,1,0,1,0,12,40,137,0,0,111,0
0,1,0,1,0,12,40,137,0,0,111,0
1,0,1,0,0,153,296,140,0,0,21,0
0,1,0,1,0,6088,888,137,0,0,111,0
1,0,0,1,0,55,27,140,164,7,11,0
0,1,0,1,2,4,113,137,0,0,111,0
0,1,0,1,0,22,91,140,0,13,11,0
